Removed Pin From Net: NetName=12VBatteryRegulatedB Pin=5VReg-1
Removed Pin From Net: NetName=+18 Pin=12VReg-1
Removed Pin From Net: NetName=12VBatteryRegulatedA Pin=12VReg-2
Removed Pin From Net: NetName=12VBarrelInput Pin=BarrelInput-1
Removed Pin From Net: NetName=+18 Pin=BatteryInput-1
Removed Pin From Net: NetName=GND Pin=BatteryInput-2
Removed Pin From Net: NetName=12VBatteryRegulatedB Pin=C1-1
Removed Pin From Net: NetName=+5 Pin=C4-2
Removed Pin From Net: NetName=12VBatteryRegulatedA Pin=C5-2
Removed Pin From Net: NetName=12VBatteryRegulatedB Pin=D10-1
Removed Pin From Net: NetName=12VBatteryRegulatedB Pin=MotorDriver-4
Removed Pin From Net: NetName=12VBatteryRegulatedA Pin=PowerToggle-1
Removed Pin From Net: NetName=12VBatteryRegulatedB Pin=PowerToggle-2
Removed Pin From Net: NetName=12VBarrelInput Pin=PowerToggle-3
Removed Pin From Net: NetName=GND Pin=R3-1
Removed Member From Class: ClassName=MotorLaserPCB Member=F?
Removed Member From Class: ClassName=MotorLaserPCB Member=PowerToggle
Removed Member From Class: ClassName=MotorLaserPCB Member=R3
Change Component Footprint: Designator=D11 Old Footprint=LED_LGE1.0 New Footprint=DO-41_XLGE1.2
Change Component Comment : Designator=D11 Old Comment=G-LED New Comment=1N4005
Change component parameters: Designator = "D11" ("D11"); Footprint = "LED_LGE1.0"; UniqueID = "\AHBPVION" ("\AHBPVION")
Add component (AddParameter): Name = "Construction"; Value = "RADIAL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "2.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Diameter"; Value = "500um"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.1inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Diameter"; Value = "0.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Length"; Value = "30mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead/Base Style"; Value = "Formed Leads"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "5000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "Radial"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness"; Value = "2.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "0.005644oz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "2.5mm"; VariantName = "[No Variations]"
Added Component: Designator=C?(Cap2.54mm_LGE1.0)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "RAD-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100pF"; VariantName = "[No Variations]"
Added Component: Designator=C?(FP-K15H5-MFG)
Add component (AddParameter): Name = "Capacitance"; Value = "100nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "Dipped"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Construction"; Value = "RADIAL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "2.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Diameter"; Value = "500um"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.1inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Diameter"; Value = "0.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Length"; Value = "30mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead/Base Style"; Value = "Formed Leads"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "5000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "Radial"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness"; Value = "2.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "0.005644oz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "2.5mm"; VariantName = "[No Variations]"
Added Component: Designator=C?(FP-K15H5-MFG)
Add component (AddParameter): Name = "Capacitance"; Value = "100nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "Dipped"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Construction"; Value = "RADIAL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "2.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Diameter"; Value = "500um"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.1inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Diameter"; Value = "0.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Length"; Value = "30mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead/Base Style"; Value = "Formed Leads"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "5000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "Radial"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness"; Value = "2.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "0.005644oz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "2.5mm"; VariantName = "[No Variations]"
Add Component: Footprint Not Found 0ZCG_BEL
Add Component: Footprint Not Found 0ZCG_BEL
Add Component: Footprint Not Found ANT13SEC_CRS
Added Component: Designator=RockerSW1(TERM-BLOCK-5.08MM-2POS)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Added Component: Designator=RockerSW2(TERM-BLOCK-5.08MM-2POS)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Added Pin To Net: NetName=Vs Pin=5VReg-1
Added Pin To Net: NetName=12VBatteryRegulatedB Pin=?-1
Added Pin To Net: NetName=+18 Pin=?-1
Added Pin To Net: NetName=12VBatteryRegulatedA Pin=?-2
Added Pin To Net: NetName=+5 Pin=?-2
Added Pin To Net: NetName=GND Pin=?-3
Added Pin To Net: NetName=GND Pin=?-3
Added Pin To Net: NetName=12VBarrelInput Pin=BarrelInput?-1
Added Pin To Net: NetName=GND Pin=BarrelInput?-2
Added Pin To Net: NetName=+18 Pin=BatteryInput?-1
Added Pin To Net: NetName=GND Pin=BatteryInput?-2
Added Pin To Net: NetName=Vs Pin=C1-1
Added Pin To Net: NetName=+5 Pin=C2-1
Added Pin To Net: NetName=GND Pin=C3-1
Added Pin To Net: NetName=Vs Pin=C4-2
Added Pin To Net: NetName=+5 Pin=C5-2
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=12VBatteryRegulatedB Pin=C?-2
Added Pin To Net: NetName=+5 Pin=C?-2
Added Pin To Net: NetName=+18 Pin=C?-2
Added Pin To Net: NetName=Vs Pin=D10-1
Added Pin To Net: NetName=Vs Pin=D11-2
Added Pin To Net: NetName=+5 Pin=EncoderPinInput-5
Added Pin To Net: NetName=+5 Pin=EncoderPinInput-6
Add Pin To Net: Unknown Pin: Pin F2-2
Added Pin To Net: NetName=Vs Pin=MotorDriver-4
Added Pin To Net: NetName=+5 Pin=MotorDriver-9
Add Pin To Net: Unknown Pin: Pin PowerToggle?-1
Add Pin To Net: Unknown Pin: Pin PowerToggle?-2
Add Pin To Net: Unknown Pin: Pin PowerToggle?-3
Change Net Name : Old Net Name=Vs New Net Name=+12
Added Pin To Net: NetName=Net12VReg_1 Pin=12VReg-1
Added Pin To Net: NetName=Net12VReg_1 Pin=C3-2
Added Net: Name=Net12VReg_1
Added Pin To Net: NetName=Net12VReg_2 Pin=12VReg-2
Added Pin To Net: NetName=Net12VReg_2 Pin=D11-1
Added Net: Name=Net12VReg_2
Added Pin To Net: NetName=NetBarrelInput_1 Pin=BarrelInput-1
Added Pin To Net: NetName=NetBarrelInput_1 Pin=RockerSW1-1
Added Net: Name=NetBarrelInput_1
Added Pin To Net: NetName=NetBarrelInput_3 Pin=BarrelInput-3
Added Pin To Net: NetName=NetBarrelInput_3 Pin=BatteryInput-2
Added Net: Name=NetBarrelInput_3
Added Pin To Net: NetName=NetBatteryInput_1 Pin=BatteryInput-1
Added Pin To Net: NetName=NetBatteryInput_1 Pin=RockerSW2-1
Added Net: Name=NetBatteryInput_1
Added Pin To Net: NetName=NetF1_1 Pin=RockerSW2-2
Added Net: Name=NetF1_1
Added Pin To Net: NetName=NetF2_1 Pin=RockerSW1-2
Added Net: Name=NetF2_1
Added Class: Name=BarrelNBattery
Added Member To Class: ClassName=MotorLaserPCB Member=Component C3 EEUFM1E102
Added Member To Class: ClassName=MotorLaserPCB Member=Component C? G-Cap
Add Class Member: Failed to add class member : Component F1 0ZCG0150BF2C
Add Class Member: Failed to add class member : Component F2 0ZCG0150BF2C
Added Member To Class: ClassName=MotorLaserPCB Member=Component RockerSW1 Term-Block 2
Added Member To Class: ClassName=MotorLaserPCB Member=Component RockerSW2 Term-Block 2
